Year;Month;MeanTemp
2000.00;1.00;-3.20
2000.00;2.00;0.40
2000.00;3.00;1.30
2000.00;4.00;7.70
2000.00;5.00;12.10
2000.00;6.00;14.90
2000.00;7.00;12.10
2000.00;8.00;15.90
2000.00;9.00;6.90
2000.00;10.00;10.30
2000.00;11.00;4.30
2000.00;12.00;1.70
2001.00;1.00;-1.40
2001.00;2.00;-1.00
2001.00;3.00;3.10
2001.00;4.00;3.00
2001.00;5.00;11.80
2001.00;6.00;10.30
2001.00;7.00;14.40
2001.00;8.00;15.50
2001.00;9.00;7.50
2001.00;10.00;11.30
2001.00;11.00;-1.10
2001.00;12.00;-5.70
2002.00;1.00;-1.90
2002.00;2.00;2.30
2002.00;3.00;2.90
2002.00;4.00;4.00
2002.00;5.00;11.50
2002.00;6.00;16.00
2002.00;7.00;15.80
2002.00;8.00;15.20
2002.00;9.00;9.60
2002.00;10.00;7.20
2002.00;11.00;5.90
2002.00;12.00;1.00
2003.00;1.00;-2.20
2003.00;2.00;-3.40
2003.00;3.00;2.90
2003.00;4.00;5.40
2003.00;5.00;13.10
2003.00;6.00;17.80
2003.00;7.00;16.30
2003.00;8.00;19.00
2003.00;9.00;12.20
2003.00;10.00;4.40
2003.00;11.00;6.60
2003.00;12.00;0.30
2004.00;1.00;-3.00
2004.00;2.00;0.20
2004.00;3.00;1.20
2004.00;4.00;5.00
2004.00;5.00;7.30
2004.00;6.00;11.60
2004.00;7.00;13.80
2004.00;8.00;14.90
2004.00;9.00;10.80
2004.00;10.00;9.40
2004.00;11.00;0.40
2004.00;12.00;0.10
2005.00;1.00;-3.00
2005.00;2.00;-6.00
2005.00;3.00;-1.10
2005.00;4.00;4.90
2005.00;5.00;10.10
2005.00;6.00;13.00
2005.00;7.00;14.40
2005.00;8.00;12.20
2005.00;9.00;11.80
2005.00;10.00;9.20
2005.00;11.00;0.70
2005.00;12.00;-4.00
2006.00;1.00;-3.50
2006.00;2.00;-3.40
2006.00;3.00;-1.30
2006.00;4.00;4.10
2006.00;5.00;9.00
2006.00;6.00;13.00
2006.00;7.00;17.60
2006.00;8.00;11.30
2006.00;9.00;14.10
2006.00;10.00;10.80
2006.00;11.00;4.70
2006.00;12.00;1.70
2007.00;1.00;1.30
2007.00;2.00;1.30
2007.00;3.00;2.30
2007.00;4.00;9.40
2007.00;5.00;11.10
2007.00;6.00;14.30
2007.00;7.00;15.00
2007.00;8.00;14.30
2007.00;9.00;8.80
2007.00;10.00;5.20
2007.00;11.00;0.60
2007.00;12.00;0.10
2008.00;1.00;2.00
2008.00;2.00;2.00
2008.00;3.00;0.80
2008.00;4.00;5.10
2008.00;5.00;11.80
2008.00;6.00;14.10
2008.00;7.00;14.50
2008.00;8.00;15.10
2008.00;9.00;9.30
2008.00;10.00;8.70
2008.00;11.00;3.90
2008.00;12.00;-0.20
2009.00;1.00;-2.40
2009.00;2.00;-2.50
2009.00;3.00;0.00
2009.00;4.00;10.10
2009.00;5.00;11.30
2009.00;6.00;11.80
2009.00;7.00;15.80
2009.00;8.00;16.40
2009.00;9.00;12.90
2009.00;10.00;6.10
2009.00;11.00;6.20
2009.00;12.00;-1.50
2010.00;1.00;-4.60
2010.00;2.00;-1.80
2010.00;3.00;0.80
2010.00;4.00;5.60
2010.00;5.00;8.10
2010.00;6.00;13.30
2010.00;7.00;16.80
2010.00;8.00;14.80
2010.00;9.00;9.80
2010.00;10.00;5.90
2010.00;11.00;3.80
2010.00;12.00;-3.10
2011.00;1.00;-0.80
2011.00;2.00;-0.40
2011.00;3.00;3.40
2011.00;4.00;8.40
2011.00;5.00;11.00
2011.00;6.00;13.30
2011.00;7.00;12.90
2011.00;8.00;16.70
2011.00;9.00;13.90
2011.00;10.00;7.50
2011.00;11.00;7.10
2011.00;12.00;0.70
2012.00;1.00;-2.20
2012.00;2.00;-7.30
2012.00;3.00;4.70
2012.00;4.00;6.10
2012.00;5.00;11.20
2012.00;6.00;14.80
2012.00;7.00;15.10
2012.00;8.00;16.50
2012.00;9.00;12.10
2012.00;10.00;8.00
2012.00;11.00;5.90
2012.00;12.00;-0.90
2013.00;1.00;-2.20
2013.00;2.00;-4.70
2013.00;3.00;-0.80
2013.00;4.00;6.40
2013.00;5.00;8.40
2013.00;6.00;12.50
2013.00;7.00;17.00
2013.00;8.00;16.10
2013.00;9.00;10.30
2013.00;10.00;9.60
2013.00;11.00;1.80
2013.00;12.00;3.10
2014.00;1.00;2.50
2014.00;2.00;2.80
2014.00;3.00;5.10
2014.00;4.00;7.00
2014.00;5.00;8.60
2014.00;6.00;13.70
2014.00;7.00;15.60
2014.00;8.00;13.10
2014.00;9.00;11.50
2014.00;10.00;10.20
2014.00;11.00;7.50
2014.00;12.00;0.50
2015.00;1.00;-0.60
2015.00;2.00;-1.00
2015.00;3.00;2.10
2015.00;4.00;5.50
2015.00;5.00;9.90
2015.00;6.00;13.80
2015.00;7.00;18.20
2015.00;8.00;18.80
2015.00;9.00;10.10
2015.00;1.00;
